,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Log_Discount_offered,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium,Cost_of_the_Product_std,Weight_in_gms_std
0,1,D,Flight,4,2,177,3,low,0,44,1233,1,3.784189633918261,0,0,0,1,0,1,0,0,0,1,0,-0.6878659783967546,-1.46881550721803
1,2,F,Flight,4,5,216,2,low,1,59,3088,1,4.07753744390572,0,0,0,0,1,1,0,0,0,1,0,0.12204412245557143,-0.33479470509636705
2,3,A,Flight,2,2,183,4,low,1,48,3374,1,3.871201010907891,1,0,0,0,0,1,0,0,0,1,0,-0.5632644244194736,-0.15995376201992736
3,4,B,Flight,3,3,176,4,medium,1,10,1177,1,2.302585092994046,0,1,0,0,0,1,0,0,0,0,1,-0.7086329040596346,-1.5030500974707595
4,5,C,Flight,2,2,184,3,medium,0,46,2484,1,3.828641396489095,0,0,1,0,0,1,0,0,0,0,1,-0.5424974987565935,-0.7040392142508061
5,6,F,Flight,3,1,162,3,medium,0,12,1417,1,2.4849066497880004,0,0,0,0,1,1,0,0,0,0,1,-0.9993698633399568,-1.3563304249590618
6,7,D,Flight,3,4,250,3,low,0,3,2371,1,1.0986122886681098,0,0,0,1,0,1,0,0,0,1,0,0.8281195949934966,-0.7731197267250637
7,8,F,Flight,4,1,233,2,low,0,48,2804,1,3.871201010907891,0,0,0,0,1,1,0,0,0,1,0,0.475081858724534,-0.5084129842352092
8,9,A,Flight,3,4,150,3,low,0,11,1861,1,2.3978952727983707,1,0,0,0,0,1,0,0,0,1,0,-1.2485729712945186,-1.0848990308124211
9,10,B,Flight,3,2,164,3,medium,0,29,1187,1,3.367295829986474,0,1,0,0,0,1,0,0,0,0,1,-0.9578360120141965,-1.496936777782772
10,11,C,Flight,3,4,189,2,medium,1,12,2888,1,2.4849066497880004,0,0,1,0,0,1,0,0,0,0,1,-0.4386628704421927,-0.45706109885611507
11,12,F,Flight,4,5,232,3,medium,0,32,3253,1,3.4657359027997265,0,0,0,0,1,1,0,0,0,0,1,0.4543149330616539,-0.23392493024457492
12,13,D,Flight,3,5,198,3,medium,0,1,3667,1,0.0,0,0,0,1,0,1,0,0,0,0,1,-0.2517605394762713,0.019166504838103483
13,14,F,Flight,4,4,275,3,high,1,29,2602,1,3.367295829986474,0,0,0,0,1,1,0,0,1,0,0,1.3472927365655005,-0.6319020419325547
14,15,A,Flight,4,3,152,3,low,1,43,1009,1,3.7612001156935624,1,0,0,0,0,1,0,0,0,1,0,-1.2070391199687582,-1.6057538682289478
15,16,B,Flight,4,3,227,3,low,0,45,2707,1,3.8066624897703196,0,1,0,0,0,1,0,0,0,1,0,0.3504803047472531,-0.567712185208687
16,17,C,Flight,3,4,143,2,medium,0,6,1194,1,1.791759469228055,0,0,1,0,0,1,0,0,0,0,1,-1.3939414509346797,-1.4926574540011808
17,18,F,Ship,5,5,227,3,medium,1,36,3952,1,3.58351893845611,0,0,0,0,1,0,0,1,0,0,1,0.3504803047472531,0.1933961159457444
18,19,D,Ship,5,5,239,3,high,1,18,2495,1,2.8903717578961645,0,0,0,1,0,0,0,1,1,0,0,0.5996834127018149,-0.6973145625940199
19,20,F,Ship,4,5,145,3,medium,1,45,1059,1,3.8066624897703196,0,0,0,0,1,0,0,1,0,0,1,-1.3524075996089193,-1.5751872697890108
20,21,A,Ship,3,3,161,2,medium,0,38,1521,1,3.6375861597263857,1,0,0,0,0,0,0,1,0,0,1,-1.020136789002837,-1.2927519002039929
21,22,B,Ship,3,1,232,4,medium,0,51,2899,1,3.9318256327243257,0,1,0,0,0,0,0,1,0,0,1,0.4543149330616539,-0.4503364471993289
22,23,C,Ship,2,5,156,2,low,1,2,1750,1,0.6931471805599453,0,0,1,0,0,0,0,1,0,1,0,-1.1239714173172377,-1.1527568793490812
23,24,F,Ship,4,3,211,3,high,1,12,3922,1,2.4849066497880004,0,0,0,0,1,0,0,1,1,0,0,0.018209494141170672,0.17505615688178222
24,25,D,Ship,4,5,251,2,medium,0,28,3561,1,3.332204510175204,0,0,0,1,0,0,0,1,0,0,1,0.8488865206563768,-0.04563468385456297
25,26,F,Ship,3,1,225,4,low,1,29,3496,1,3.367295829986474,0,0,0,0,1,0,0,1,0,1,0,0.3089464534214928,-0.08537126182648108
26,27,A,Ship,4,1,172,3,high,0,24,1066,1,3.1780538303479458,1,0,0,0,0,0,0,1,1,0,0,-0.7917006067111553,-1.5709079460074196
27,28,B,Ship,5,1,162,3,medium,1,31,1435,1,3.4339872044851463,0,1,0,0,0,0,0,1,0,0,1,-0.9993698633399568,-1.3453264495206845
28,29,C,Ship,2,3,234,4,low,1,44,3134,1,3.784189633918261,0,0,1,0,0,0,0,1,0,1,0,0.4958487843874142,-0.306673434531625
29,30,F,Ship,5,4,183,2,low,0,36,3819,1,3.58351893845611,0,0,0,0,1,0,0,1,0,1,0,-0.5632644244194736,0.11208896409551197
30,31,D,Ship,3,4,266,2,medium,0,38,2741,1,3.6375861597263857,0,0,0,1,0,0,0,1,0,0,1,1.160390405599579,-0.5469268982695299
31,32,F,Ship,5,3,257,2,low,0,61,3341,1,4.110873864173311,0,0,0,0,1,0,0,1,0,1,0,0.9734880746336577,-0.1801277169902858
32,33,A,Ship,3,1,223,3,low,0,22,3795,1,3.091042453358316,1,0,0,0,0,0,0,1,0,1,0,0.2674126020957325,0.09741699684434221
33,34,B,Ship,4,2,234,3,medium,1,4,3261,1,1.3862943611198906,0,1,0,0,0,0,0,1,0,0,1,0.4958487843874142,-0.229034274494185
34,35,C,Ship,4,2,227,4,medium,0,22,2460,1,3.091042453358316,0,0,1,0,0,0,0,1,0,0,1,0.3504803047472531,-0.7187111815019759
35,36,F,Ship,5,4,149,3,medium,0,44,1811,1,3.784189633918261,0,0,0,0,1,0,0,1,0,0,1,-1.2693398969573988,-1.1154656292523581
36,37,D,Ship,3,5,137,4,high,0,62,1477,1,4.127134385045092,0,0,0,1,0,0,0,1,1,0,0,-1.5185430049119606,-1.3196505068311373
38,39,A,Ship,5,1,215,4,low,0,56,3905,1,4.02535169073515,1,0,0,0,0,0,0,1,0,1,0,0.10127719679269129,0.16466351341220362
39,40,B,Ship,4,2,269,5,low,0,45,2383,1,3.8066624897703196,0,1,0,0,0,0,0,1,0,1,0,1.2226911825882196,-0.7657837430994788
40,41,C,Ship,5,1,227,2,low,1,15,3798,1,2.70805020110221,0,0,1,0,0,0,0,1,0,1,0,0.3504803047472531,0.09925099275073844
41,42,F,Ship,5,5,139,4,medium,1,61,1265,1,4.110873864173311,0,0,0,0,1,0,0,1,0,0,1,-1.4770091535862002,-1.4492528842164702
42,43,D,Ship,3,5,137,2,medium,1,38,1647,1,3.6375861597263857,0,0,0,1,0,0,0,1,0,0,1,-1.5185430049119606,-1.2157240721353515
43,44,F,Ship,3,1,174,2,low,1,44,1556,1,3.784189633918261,0,0,0,0,1,0,0,1,0,1,0,-0.750166755385395,-1.271355281296037
44,45,A,Ship,3,1,151,2,low,1,29,1328,1,3.367295829986474,1,0,0,0,0,0,0,1,0,1,0,-1.2278060456316384,-1.4107389701821496
45,46,B,Ship,5,1,210,3,low,0,9,2944,1,2.1972245773362196,0,1,0,0,0,0,0,1,0,1,0,-0.0025574315217094822,-0.4228265086033856
46,47,C,Ship,3,4,169,4,medium,0,32,1245,1,3.4657359027997265,0,0,1,0,0,0,0,1,0,0,1,-0.8540013836997957,-1.4614795235924452
47,48,F,Ship,5,1,160,2,low,1,32,1576,1,3.4657359027997265,0,0,0,0,1,0,0,1,0,1,0,-1.0409037146657172,-1.259128641920062
48,49,D,Ship,5,4,190,2,medium,1,9,3753,1,2.1972245773362196,0,0,0,1,0,0,0,1,0,0,1,-0.4178959447793125,0.07174105415479513
49,50,F,Ship,5,3,216,3,low,0,40,2146,1,3.6888794541139363,0,0,0,0,1,0,0,1,0,1,0,0.12204412245557143,-0.9106694197047802
50,51,A,Ship,4,1,183,3,low,1,37,2042,1,3.6109179126442243,1,0,0,0,0,0,0,1,0,1,0,-0.5632644244194736,-0.9742479444598492
51,52,B,Ship,4,4,141,3,low,1,22,1735,1,3.091042453358316,0,1,0,0,0,0,0,1,0,1,0,-1.43547530226044,-1.1619268588810625
52,53,C,Ship,4,3,165,3,low,0,44,1320,1,3.784189633918261,0,0,1,0,0,0,0,1,0,1,0,-0.9370690863513164,-1.4156296259325396
53,54,F,Ship,2,1,170,3,low,1,41,1128,1,3.713572066704308,0,0,0,0,1,0,0,1,0,1,0,-0.8332344580369155,-1.5330053639418977
54,55,D,Ship,4,3,203,3,high,1,12,3539,1,2.4849066497880004,0,0,0,1,0,0,0,1,1,0,0,-0.14792591116187054,-0.05908398716813525
55,56,F,Ship,2,5,246,5,low,1,46,2437,1,3.828641396489095,0,0,0,0,1,0,0,1,0,1,0,0.745051892341976,-0.7327718167843469
56,57,A,Ship,3,3,238,3,low,0,61,3096,1,4.110873864173311,1,0,0,0,0,0,0,1,0,1,0,0.5789164870389348,-0.3299040493459771
57,58,B,Ship,3,3,193,3,medium,0,29,3453,1,3.367295829986474,0,1,0,0,0,0,0,1,0,0,1,-0.3555951677906721,-0.1116585364848269
58,59,C,Ship,5,5,141,3,high,1,41,1367,1,3.713572066704308,0,0,1,0,0,0,0,1,1,0,0,-1.43547530226044,-1.3868970233989988
59,60,F,Ship,4,1,150,3,high,0,17,1923,1,2.833213344056216,0,0,0,0,1,0,0,1,1,0,0,-1.2485729712945186,-1.0469964487468992
60,61,D,Ship,3,1,221,3,low,0,64,2794,1,4.1588830833596715,0,0,0,1,0,0,0,1,0,1,0,0.2258787507699722,-0.5145263039231966
61,62,F,Ship,3,3,179,3,medium,1,52,1158,1,3.9512437185814275,0,0,0,0,1,0,0,1,0,0,1,-0.6463321270709942,-1.5146654048779356
63,64,B,Ship,3,1,177,3,medium,1,61,1880,1,4.110873864173311,0,1,0,0,0,0,0,1,0,0,1,-0.6878659783967546,-1.073283723405245
64,65,C,Ship,4,5,261,2,high,1,49,3045,1,3.8918202981106265,0,0,1,0,0,0,0,1,1,0,0,1.0565557772851784,-0.36108197975471285
65,66,F,Ship,3,2,202,3,low,1,49,2881,1,3.8918202981106265,0,0,0,0,1,0,0,1,0,1,0,-0.1686928368247507,-0.46134042263770625
